,city,weekofyear,ndvi_ne,ndvi_nw,ndvi_se,ndvi_sw,reanalysis_air_temp_k,reanalysis_avg_temp_k,reanalysis_max_air_temp_k,reanalysis_min_air_temp_k,reanalysis_precip_amt_kg_per_m2,reanalysis_relative_humidity_percent,reanalysis_sat_precip_amt_mm,reanalysis_specific_humidity_g_per_kg,reanalysis_tdtr_k,station_avg_temp_c,station_diur_temp_rng_c,station_max_temp_c,station_min_temp_c,station_precip_mm,calc_ndvi_avg,calc_ndvi_range,calc_temp_range_c,calc_total_avg_air_temp,calc_avg_precip,cluster
0,1.0,0.3333333333333333,0.5782264318744081,0.6148351627834645,0.38641788536677496,0.3955441959576148,0.3882908404112726,0.35466666665405455,0.12345679012345911,0.6923076923076934,0.1050834099566531,0.38161394176961605,0.050543279208887806,0.2626592616861525,0.08666017526768194,0.43009118541489366,0.21039290240821162,0.17419354838709666,0.4862385321100917,0.05230467473030403,0.40763081792590317,0.14189897719233646,0.26174496644295286,0.35887403542298735,0.09917355371900827,2
1,1.0,0.35294117647058826,0.6299426278234664,0.6570633805462014,0.3211901981055692,0.3592325472082608,0.4727101037950021,0.44177777776206995,0.19135802469135754,0.7307692307692335,0.05891238670694865,0.47966825308075367,0.09286615390876166,0.4181639987004542,0.06913339824746634,0.5653495440744685,0.16349809885954836,0.32258064516129004,0.6880733944954125,0.028113762667538414,0.41915246346605384,0.03278261829255548,0.2684563758389261,0.5041843277411293,0.054834710743801654,2
2,1.0,0.37254901960784315,0.47944084405205245,0.6908807696979535,0.31187879236749644,0.3844300191785097,0.5480642114465724,0.496000000017915,0.16666666666666785,0.8000000000000043,0.0857086562458952,0.594414893618497,0.14056077808977332,0.5868997059842973,0.06426484907503272,0.5653495440744685,0.1736375158425636,0.3548387096774195,0.7431192660550456,0.13533834586466167,0.3786450753881214,0.21670975435621911,0.2617449664429531,0.5475491793889615,0.13946280991735538,1
3,1.0,0.39215686274509803,0.5848230349403585,0.770065542147715,0.43891210656620483,0.4911496119341233,0.5752596789074715,0.5395555555719227,0.22222222222222143,0.7769230769230795,0.045645606199921196,0.5523866181405177,0.06250763032596753,0.5668082326111838,0.07302823758514057,0.6458966565319151,0.19898605830187588,0.42580645161290276,0.7889908256880731,0.013076168682576007,0.5059960369492091,0.17718156048733524,0.3020134228187916,0.6208020867022719,0.036983471074380166,1
4,1.0,0.411764705882353,0.6586981448099407,0.7888824140175279,0.48160056223405695,0.5099433636068776,0.6455146364927558,0.5937777777033304,0.2530864197530853,0.8153846153846196,0.04006305004597399,0.5553961366186078,0.03060269401375493,0.6282260699144533,0.11295034079868699,0.8024316109468086,0.42965779467700504,0.5354838709677416,0.8440366972477062,0.01896044458973521,0.5562004859359446,0.09508640815355165,0.37583892617449666,0.7731768286315375,0.0371900826446281,1
5,1.0,0.43137254901960786,0.6237337046572715,0.692949128670972,0.48722358891379564,0.40231429785403094,0.6602455146236181,0.6062222221473306,0.2839506172839492,0.8615384615384656,0.0869893603047419,0.5414683650613716,0.0389858788100761,0.628552760543333,0.05063291139249135,0.7142857142872341,0.21419518377728586,0.4967741935483869,0.8440366972477062,0.12781954887218047,0.48000715718816034,0.13430487398951693,0.3355704697986577,0.7186175415611369,0.13551652892561986,1
6,1.0,0.45098039215686275,0.567620784925024,0.6028366379705151,0.3983130342184546,0.4491227055783067,0.6043437204572015,0.5386666665763968,0.2160493827160508,0.8307692307692349,0.12675686326021282,0.5931201007843017,0.014161884995727018,0.6310029402199135,0.046738072054817115,0.6398176291808513,0.19898605830187588,0.3548387096774195,0.7889908256880731,0.09709055246812685,0.4154331404371576,0.17887120996808548,0.22818791946308736,0.6331920443192014,0.14111570247933883,1
7,1.0,0.47058823529411764,0.5234488120636719,0.5805418962128153,0.30153551437964987,0.3223858467822015,0.6551463644251285,0.5768888889039303,0.17283950617284205,0.8846153846153868,0.09851569683436229,0.6268197088466265,0.6149839254466284,0.7159425024480821,0.014605647517300757,0.7416413373829789,0.28010139416954616,0.4645161290322579,0.7431192660550456,0.06897678980058844,0.33516164217696054,0.11620116660692666,0.37583892617449643,0.7352461688488767,0.10557851239669422,1
8,1.0,0.49019607843137253,0.5561951137269763,0.6614564331092949,0.25477175012918263,0.30691578165192457,0.6534466478244951,0.5804444443882488,0.2654320987654337,0.8307692307692349,0.12317745960856431,0.6119470884669527,0.07862287876938102,0.6945442665823169,0.03602726387519059,0.7370820668723406,0.25348542458780055,0.4645161290322579,0.7431192660550456,0.06897678980058844,0.3637832053668989,0.05882731163745266,0.37583892617449643,0.7310074992084981,0.12109504132231405,1
9,1.0,0.5098039215686274,0.5462742571353312,0.6344117032677502,0.3181680672714985,0.4364811457699316,0.7295561850322869,0.6702222222339458,0.27777777777777857,0.9076923076923116,0.09326152633652962,0.5755179171330045,0.05864159850242136,0.726723293041043,0.04479065238598001,0.7370820668723406,0.1761723700892045,0.4645161290322579,0.8899082568807337,0.0035959463877084023,0.39746871135665784,0.16539143037911697,0.2684563758389261,0.7748070861568546,0.0609504132231405,1
